Tweet ID,Tweet Text,Tweet Date,Followers count
1068461483703570000,cisco patches sql injection flaw in prime license manager: sqli websecurity,2018-11-30,8131
1068462839797430000,rt : here building sites of nutanix clusters cisco tor switches roundtower offers staging configur...,2018-11-30,279
1068463087827570000,rt : cisco patches sql injection flaw in prime license manager: sqli websecurity,2018-11-30,22203
1068463505064500000,if rhino poaching is not stoppedrhinos will be extinct in southafrica in years awesome that dimensiondata...,2018-11-30,541
1068464190002740000,rt : best it training certification courses ai analytics iot bi amazon aws tech ccna ...,2018-11-30,289
1068464327387170000,rt : best it training certification courses ai analytics iot bi amazon aws tech ccna ...,2018-11-30,1049
1068478695084620000,weeks to go and it's a wrap for fall semester all roads leads to ccna WOMANEMOJI MODIFIER FITZPATRICK TYPE-5ZERO WIDTH JOINERPERSONAL COMPUTER python cisco routers switches...,2018-11-30,370
1068478841499330000,rt : cohda wireless and cisco partnering together to connect roadways making our roads safer and more enjoyable for all road...,2018-11-30,229
1068479971084170000,rt : cohda wireless and cisco partnering together to connect roadways making our roads safer and more enjoyable for all road...,2018-11-30,1090
1068481035594270000,rt : wearecisco and we're BLACK RIGHTWARDS ARROW[?] top two LEFTWARDS BLACK ARROW[?] on 's best workplaces for parents list to all the cisconian fami...,2018-11-30,1243
1068481431129790000,rt : it's our favorite time of year! start building your CHRISTMAS TREEholiday SNOWMAN[?] wish list early with cisco training products be sur...,2018-11-30,174
1068482315653980000,acquisition news! cisco ensoft acquisition business industry news tech it cool interesting,2018-11-30,3638
1068482338760400000,how cisco stealthwatch provides kubernetes security within aws,2018-11-30,571
1068484123856180000,rt : new video: packet tracer configuring standard acls labeveryday ccna cisco,2018-11-30,35
1068484670013300000,reduce time effort and costs with an all-in-one easy-to-manage it system so you can get back to running the bus...,2018-11-30,1932
1068485432579630000,time to unleash your communications investment with bridge operator console for microsoft office communications...,2018-11-30,731
1068485592412020000,rt ndbridge time to unleash your communications investment with bridge operator console for microsoft office commu...,2018-11-30,10
1068488243673470000,rt : best it training certification courses ai analytics iot bi amazon aws tech ccna ...,2018-11-30,3233
1068488259465030000,rt : today case study fanrelationshipmanagement from fanexperience to fanengagement it imb cisco http...,2018-11-30,3002
1068488400443820000,rt : best it training certification courses ai analytics iot bi amazon aws tech ccna ...,2018-11-30,6333
1068489126851230000,review an updated recording about our cisco complete vni forecast and trends (-),2018-11-30,1385
1068489824666030000,with the rise of mobile workers businesses are migrating to more flexible open office environments huddle spaces...,2018-11-30,110
1068489986805290000,jobs of the week! to apply for any of these roles head over to our website now! uk:,2018-11-30,334
1068491174632010000,at in london today this is way better than christmas eve! cisco geek,2018-11-30,106
1068491217564970000,rt : best it training certification courses ai analytics iot bi amazon aws tech ccna ...,2018-11-30,153
1068492137321430000,our coaching is colorguard techniques ice_skating not rollersskateboard or rollerblading huge difference we of...,2018-11-30,110
1068492236755770000,rt : wearecisco and we're BLACK RIGHTWARDS ARROW[?] top two LEFTWARDS BLACK ARROW[?] on 's best workplaces for parents list to all the cisconian fami...,2018-11-30,1562
1068492453886320000,rt : best it training certification courses ai analytics iot bi amazon aws tech ccna ...,2018-11-30,4119
1068492507778960000,mg motor cisco and unlimit join hands on connected mobility connectedvehicle india,2018-11-30,2068
1068494138851680000,marriott should have briefed their spokesperson on the difference between encrypted and unencrypted time to sell...,2018-11-30,914
1068495898244750000,rt : in our dcack course master cisco's nexus k switches in aci mode datacenter gk,2018-11-30,118
1068496143754100000,rt : patriot one martin cronin stated in the company update yesterday that international defence contractor wants deal closed...,2018-11-30,448
1068496307898070000,working with washington state agencies city county offices focusing on technology solutions developed for govern...,2018-11-30,6733
1068496893108460000,rt : patriot one martin cronin stated in the company update yesterday that international defence contractor wants deal closed...,2018-11-30,82
1068533618665020000,sirius took home partner of the year awards at the summit for unparalleled enterprise networks and...,2018-11-30,3890
1068533787720600000,nhs supplier that holds million uk patient records: aws is our new cloud-based platform,2018-11-30,590
1068534046173600000,cisco predicts ip traffic will grow fold between to learn more about what is driving this demand for d...,2018-11-30,83
1068534433693790000,rt : congratulations ! we appreciate your leadership and inspiration!,2018-11-30,1103
1068535142279340000,rt : best it training certification courses ai analytics iot bi amazon aws tech ccna...,2018-11-30,1377
1068535276123950000,come work at one of houston's best places to work! it applynow asicareers cisco network security job,2018-11-30,48
1068535290757880000,cisco says it remains committed to cisco hcs even as it pushes broadsoft service providers into midmarket and abov...,2018-11-30,1508
1068535536602630000,rt : best it training certification courses ai analytics iot bi amazon aws tech ccna...,2018-11-30,1377
1068535938492560000,learn to deploy and manage cisco firepower threat defense devices and configure security intelligence ngfw ...,2018-11-30,137
1068535960776790000,rt : best it training certification courses ai analytics iot bi amazon aws tech ccna...,2018-11-30,1377
1068536186367560000,today's business it should be automated and supportive of on-demand application delivery your customers need to s...,2018-11-30,336
1068536835897400000,repost with make_repost KATAKANA MIDDLE DOTKATAKANA MIDDLE DOTKATAKANA MIDDLE DOT days away pajamax address: mesquite st abilene tx...,2018-11-30,186
1068536881015600000,cisco intersight is a powerful it operations management tool that can help improve your customerexperience throug...,2018-11-30,451
1068536889144210000,register your cisco phones remotely utilizing collaboration edge or simply: edge,2018-11-30,10542
1068537640646000000,getting my dev on this week in boston devnet cisco ciscosecurity,2018-11-30,16
1068550923302110000,alzassociation we're proud to support the cause and enjoying seeing how we can make a difference together tech technology news cisco,2018-11-30,1959
1068552237469910000,meet our friend: cisco nexus series switches delivers the highest-capacity and......,2018-11-30,104
1068552436011400000,unsure about the true profitability of your deals? individual deal analysis provides true visibility with v fusion...,2018-11-30,397
1068552971141570000,ways cisco's appdynamics acquisition can improve your cloud strategy:,2018-11-30,1019
1068553692767550000,meet the bridge cloud suite unleash the full power of cisco unified communications great apps for the modern...,2018-11-30,731
1068554887871560000,rt ndbridge meet the bridge cloud suite unleash the full power of cisco unified communications great apps fo...,2018-11-30,10
1068555210983750000,rt : patriot one update via research group $patv $ptotf cisco security stocks,2018-11-30,135
1068555806084400000,tarinap thanks for sharing tarina! we're excited about how technology can make a difference now and in the future...,2018-11-30,1959
1068556951506870000,percipia a developer of hospitality-related solutions for cisco for years can help add necessary features to yo...,2018-11-30,571
1068558366988000000,pabimoloi thanks for sharing! we're confident in how tech can be used as a catalyst for social change tech technology news cisco,2018-11-30,1959
1068559414121150000,rt : cisco and ibm have the best solutions in convergedinfrastructure combined with icp (ibmcloud private)versastack i...,2018-11-30,4376
1068560149604980000,rt : sirius wins prestigious summit awards cisco ciscops,2018-11-30,32
1068560862955340000,put a smile on your employee's faces with bridge operator console microsoftteams cisco,2018-11-30,731
1068561106535360000,rt ndbridge put a smile on your employee's faces with bridge operator console microsoftteams cisco...,2018-11-30,10
1068580707130210000,awesome and my son loves cisco because of it,2018-11-30,311
1068581253320970000,always good to see former duncanville guys who have gone on and made something of themselves! proud...,2018-11-30,3386
1068581376344140000,rt : always good to see former duncanville guys who have gone on and made something of themselves! proud of this y...,2018-11-30,798
1068581445763940000,rt : best it training certification courses ai analytics iot bi amazon aws tech ccna ...,2018-11-30,24913
1068581446724520000,rt : another day another device! setting up some demo cisco webex calling and collaboration devices for our customer zen...,2018-11-30,512
1068582954060960000,tech buzz: cisco predicts nearly zettabytes of ip traffic per year by via connectivity,2018-11-30,1914
1068583954247070000,cisco forecasts exploding sd-wan traffic sdn sdwan,2018-11-30,225466
1068584744777060000,rt : always good to see former duncanville guys who have gone on and made something of themselves! proud of this y...,2018-11-30,131
1068601646807110000,the final four!!! vote!!! cisco heycisco vote final four,2018-11-30,110
1068601906438660000,achieve all the colours of networking with teamsynergynetworxx teamwork brainstorming networking cisco,2018-11-30,77
1068602287071900000,happy thanksgiving from all of us at learning and the cisco learning network to you we hope your day is fill...,2018-11-30,1097
1068603395244780000,rt searchaws the cisco and aws partnership brings another kubernetes hybrid cloud option to the table for users...,2018-11-30,437
1068603472847790000,happy thanksgiving from all of us at learningcisco and the cisco learning network to you we hope your day is fille...,2018-11-30,92
1068605951727600000,rt : wearecisco and we're BLACK RIGHTWARDS ARROW[?] top two LEFTWARDS BLACK ARROW[?] on 's best workplaces for parents list to all the cisconian fami...,2018-11-30,95
1068606749999950000,the future of work: intelligence everywhere and other trends summarizes how tech trends like ai and virt...,2018-11-30,233
1068615162028910000,rt : global ip traffic to more than triple by cisco predicts iptraffic aws networks cisco,2018-11-30,1675
1068615163668960000,rt : global ip traffic to more than triple by cisco predicts iptraffic aws networks cisco,2018-11-30,27142
1068615164277080000,rt : global ip traffic to more than triple by cisco predicts iptraffic aws networks cisco,2018-11-30,64090
1068616590227310000,rt : cisco forecasts exploding sd-wan traffic sdn sdwan,2018-11-30,499069
1068618146683280000,rt : cisco forecasts exploding sd-wan traffic sdn sdwan,2018-11-30,153161
1068619683065150000,rt : cisco forecasts exploding sd-wan traffic sdn sdwan,2018-11-30,97583
1068619903790390000,as recommended by yesterday virtualize your labbing with cisco virtual internet routing lab (virl)...,2018-11-30,1100
1068621140850080000,configuring cisco ip phones with unified communications manager these things can do a lot more than just making v...,2018-11-30,96
1068621245065900000,love your iphone x? use it with the best attendant console for cisco uc bridge cloud suite cisco...,2018-11-30,731
1068621492609520000,rt ndbridge love your iphone x? use it with the best attendant console for cisco uc bridge cloud suite cisco...,2018-11-30,10
1068623425281950000,happy thanksgiving from all of us at learning and the cisco learning network to you we hope your day is fill...,2018-11-30,1100
1068625743700210000,not really surprising cisco cordcutter,2018-11-30,200
1068627913073930000,is hiring cisco deployment professionals in the dc metro area contact me for more details: susan-l...,2018-11-30,102
1068640705776470000,welcome to the world introducing cisco jabber ! cloud-based team messaging in-meeting roster controls...,2018-11-30,1099
1068642382520950000,rt : welcome to the world introducing cisco jabber ! cloud-based team messaging in-meeting roster controls cucm...,2018-11-30,652
1068642858461270000,rt : this week on thedatapoint sizes up new mobile data statistics from cisco and ericsson against gsmai numbers and...,2018-11-30,1
1068644226685060000,rt : devnetcreate is for developers by developers cfp closes november so if you have any q...,2018-11-30,53355
